first_5_runs_allowed,pitcher_id,pitcher_name,pitcher_era,pitcher_whip,pitcher_k9,pitcher_bb9,pitcher_kbb,pitcher_gbfb,pitcher_ip,pitcher_k_pct,pitcher_hr_pct,pitcher_wins,pitcher_losses,pitcher_exp_er_5ip,pitcher_exp_h_5ip,pitcher_exp_bb_5ip,pitcher_exp_k_5ip,pitcher_days_rest,is_home,year,date,team_id,opp_avg_runs_allowed,opp_avg_first5_allowed,predicted_f5,edge_vs_opp,event_id,is_lhp,opp_batting_first5,platoon_score,opp_heat_14,pitcher_team_heat_14,heat_differential
4,34943,Dylan Cease,3.923,1.253,12.312,3.705,3.324,0.528,165.2,0.3192,0.0282,13.0,7.0,2.18,4.21,2.06,6.84,,0,2021,2021-04-05,3,3.52,2.51,2.18,0.33,401227091,0,3.004,3.004,4.0,3.0,1.0
1,33173,Kyle Hendricks,4.816,1.296,7.063,2.568,2.75,0.588,84.1,0.1854,0.0421,4.0,6.0,2.68,5.05,1.43,3.92,,1,2022,2022-04-07,8,6.5,5.0,3.42,1.58,401421335,0,0.5,0.5,1.0,3.0,-2.0
3,39878,Corbin Burnes,2.941,0.965,10.827,2.272,4.765,0.907,202.0,0.3049,0.0289,12.0,8.0,1.63,3.56,1.26,6.01,,0,2022,2022-04-07,16,2.5,0.5,1.03,-0.53,401421335,0,4.986,4.986,3.0,1.0,2.0
1,5883,Zack Greinke,3.679,1.343,4.796,1.774,2.704,0.709,137.0,0.1248,0.0239,4.0,9.0,2.04,5.73,0.99,2.66,,1,2022,2022-04-07,5,2.0,1.0,1.59,-0.59,401423754,0,6.489,6.489,2.42,0.0,2.42
1,40912,Shane Bieber,2.88,1.04,8.91,1.62,5.5,0.954,200.0,0.2503,0.0228,13.0,8.0,1.6,4.3,0.9,4.95,,0,2022,2022-04-07,7,8.49,6.49,2.8,3.69,401423754,0,1.0,1.0,0.0,2.42,-2.42
0,5403,Adam Wainwright,3.719,1.287,6.731,2.542,2.648,0.777,191.2,0.1781,0.0199,11.0,12.0,2.07,5.02,1.41,3.74,,1,2022,2022-04-07,23,5.01,4.0,2.52,1.48,401421332,0,4.491,4.491,0.0,1.0,-1.0
4,41460,JT Brubaker,4.688,1.465,9.188,3.375,2.722,1.25,144.0,0.2276,0.0263,3.0,12.0,2.6,5.45,1.88,5.1,,0,2022,2022-04-07,24,5.49,4.49,3.2,1.29,401421332,0,4.0,4.0,1.0,0.0,1.0
2,31313,Patrick Corbin,6.327,1.702,7.569,2.898,2.612,0.83,152.2,0.1795,0.0379,6.0,19.0,3.52,6.9,1.61,4.2,,1,2022,2022-04-07,21,2.0,0.5,2.92,-2.42,401421333,1,3.0,3.0,0.0,0.0,0.0
0,3332018,Tylor Megill,5.159,1.253,9.745,2.484,3.923,0.731,47.1,0.255,0.035,4.0,2.0,2.87,4.88,1.38,5.41,,0,2022,2022-04-07,20,3.51,3.0,3.02,-0.02,401421333,0,0.504,0.504,0.0,0.0,0.0
3,32685,Max Fried,2.48,1.016,8.266,1.556,5.312,1.051,185.1,0.2319,0.0164,14.0,7.0,1.38,4.21,0.86,4.59,,1,2022,2022-04-08,17,2.51,2.51,1.38,1.13,401421334,1,2.996,2.996,4.0,0.0,4.0
1,34973,Tyler Mahle,4.418,1.223,9.434,3.22,2.93,0.573,120.2,0.2505,0.0318,6.0,8.0,2.45,4.33,1.79,5.24,,0,2022,2022-04-08,15,3.51,3.0,2.6,0.4,401421334,0,2.506,2.506,0.0,4.0,-4.0
1,39832,Shohei Ohtani,2.331,1.012,11.873,2.386,4.977,0.721,166.0,0.3318,0.0212,15.0,9.0,1.3,3.73,1.33,6.6,,1,2022,2022-04-08,18,1.51,1.0,0.84,0.16,401421336,0,1.004,1.004,5.0,4.0,1.0
0,36581,Framber Valdez,2.819,1.159,8.682,2.999,2.896,2.066,201.1,0.2346,0.0133,17.0,6.0,1.57,4.13,1.67,4.82,,0,2022,2022-04-08,3,2.02,1.0,1.12,-0.12,401421336,1,1.0,1.0,4.0,5.0,-1.0
2,29949,Madison Bumgarner,4.893,1.441,6.372,2.788,2.286,0.605,158.2,0.1605,0.0358,7.0,15.0,2.72,5.66,1.55,3.54,,1,2022,2022-04-08,25,2.0,0.99,2.27,-1.28,401421337,1,1.992,1.992,2.5,1.5,1.0
0,32055,Yu Darvish,3.105,0.953,9.13,1.715,5.324,0.625,194.2,0.2555,0.0285,16.0,8.0,1.73,3.81,0.95,5.07,,0,2022,2022-04-08,29,4.98,1.99,1.57,0.42,401421337,0,0.992,0.992,1.5,2.5,-1.0
3,32081,Gerrit Cole,3.506,1.019,11.553,2.248,5.14,0.725,200.2,0.3241,0.0416,13.0,8.0,1.95,3.85,1.25,6.42,,1,2022,2022-04-08,2,4.01,2.0,1.8,0.2,401427970,0,1.996,1.996,1.857,0.929,0.928
3,31174,Nathan Eovaldi,3.877,1.237,8.497,1.65,5.15,0.92,109.1,0.2239,0.0457,6.0,3.0,2.15,5.27,0.92,4.72,,0,2022,2022-04-08,10,2.01,2.0,2.01,-0.01,401427970,0,1.996,1.996,0.929,1.857,-0.928
3,32675,Eduardo Rodriguez,4.055,1.33,7.121,3.363,2.118,0.791,91.0,0.1841,0.0307,5.0,5.0,2.25,4.78,1.87,3.96,,1,2022,2022-04-08,4,1.02,0.99,1.8,-0.81,401354253,1,4.981,4.981,3.0,3.0,0.0
0,32697,Lucas Giolito,4.913,1.439,9.882,3.406,2.902,0.64,161.2,0.2536,0.0344,11.0,9.0,2.73,5.3,1.89,5.49,,0,2022,2022-04-08,6,9.96,4.98,3.47,1.51,401354253,0,0.992,0.992,3.0,3.0,0.0
1,33709,Aaron Nola,3.249,0.961,10.317,1.273,8.103,0.792,205.0,0.2912,0.0235,11.0,13.0,1.8,4.1,0.71,5.73,,1,2022,2022-04-08,11,2.51,1.01,1.36,-0.35,401354261,0,0.002,0.002,2.0,1.0,1.0
5,33249,Frankie Montas,4.06,1.249,8.869,2.686,3.302,0.844,144.1,0.2336,0.0296,5.0,12.0,2.26,4.75,1.49,4.93,,0,2022,2022-04-08,22,3.0,0.0,1.51,-1.51,401354261,0,1.008,1.008,1.0,2.0,-1.0
0,41199,Shane McClanahan,2.547,0.927,10.512,2.059,5.105,1.025,166.1,0.3027,0.0296,12.0,8.0,1.41,3.49,1.14,5.84,,1,2022,2022-04-08,1,7.97,3.99,1.86,2.13,401354252,1,0.008,0.008,10.0,6.0,4.0
1,39948,John Means,3.375,1.25,7.875,2.25,3.5,0.562,8.0,0.2059,0.0,0,0,1.88,5.0,1.25,4.38,,0,2022,2022-04-08,30,0.02,0.01,1.13,-1.12,401354252,1,3.992,3.992,6.0,10.0,-4.0
