first_5_runs_allowed,pitcher_id,pitcher_name,pitcher_era,pitcher_whip,pitcher_k9,pitcher_bb9,pitcher_kbb,pitcher_gbfb,pitcher_ip,pitcher_k_pct,pitcher_exp_er_5ip,pitcher_exp_h_5ip,pitcher_exp_bb_5ip,pitcher_exp_k_5ip,pitcher_days_rest,is_home,year,date,opp_avg_runs_allowed,opp_avg_first5_allowed,predicted_f5,edge_vs_opp,is_lhp,game_key
0,35292,Brad Keller,5.108,1.509,6.595,3.685,1.789,1.101,139.2,0.1653,2.84,5.5,2.05,3.66,4,1,2022,2022-04-09,2.0,1.0,2.39,-1.39,0,2022-04-09|Kansas City Royals|Cleveland Guardians
0,42169,Zach Plesac,4.322,1.326,6.86,2.607,2.632,0.687,131.2,0.1761,2.4,5.18,1.45,3.81,4,0,2022,2022-04-09,8.48,6.49,3.6,2.89,0,2022-04-09|Kansas City Royals|Cleveland Guardians
4,4684360,Joan Adon,7.15,1.791,7.71,5.467,1.41,0.944,64.2,0.1774,3.97,5.92,3.04,4.28,4,1,2022,2022-04-09,2.0,0.5,3.37,-2.87,0,2022-04-09|Washington Nationals|New York Mets
0,33148,Chris Bassitt,3.427,1.148,8.295,2.434,3.408,0.988,181.2,0.2242,1.9,4.39,1.35,4.61,4,0,2022,2022-04-09,3.51,3.0,2.05,0.95,0,2022-04-09|Washington Nationals|New York Mets
0,39652,Kyle Wright,3.198,1.16,8.695,2.649,3.283,1.247,180.1,0.2358,1.78,4.33,1.47,4.83,4,1,2022,2022-04-09,2.51,2.51,1.78,0.73,0,2022-04-09|Atlanta Braves|Cincinnati Reds
2,36092,Vladimir Gutierrez,7.707,1.934,7.21,5.967,1.208,0.5,36.2,0.162,4.28,6.35,3.31,4.01,4,0,2022,2022-04-09,3.51,3.0,4.43,-1.43,0,2022-04-09|Atlanta Braves|Cincinnati Reds
1,34874,German Marquez,5.017,1.369,7.45,3.129,2.381,0.945,181.2,0.1926,2.79,5.1,1.74,4.14,4,1,2022,2022-04-10,5.99,4.0,3.24,0.76,0,2022-04-10|Colorado Rockies|Los Angeles Dodgers
1,38958,Tony Gonsolin,2.145,0.876,8.232,2.421,3.4,0.762,130.1,0.239,1.19,3.04,1.35,4.57,4,0,2022,2022-04-10,3.0,2.5,1.19,1.32,0,2022-04-10|Colorado Rockies|Los Angeles Dodgers
2,33829,Zach Davies,4.094,1.298,6.846,3.49,1.962,0.777,134.1,0.1789,2.27,4.55,1.94,3.8,4,1,2022,2022-04-10,2.0,0.99,1.82,-0.83,0,2022-04-10|Arizona Diamondbacks|San Diego Padres
1,34848,Joe Musgrove,2.934,1.083,9.149,2.088,4.381,0.848,181.0,0.2486,1.63,4.25,1.16,5.08,4,0,2022,2022-04-10,4.98,1.99,1.48,0.51,0,2022-04-10|Arizona Diamondbacks|San Diego Padres
