first_5_runs_allowed,pitcher_name,pitcher_era,pitcher_whip,pitcher_k9,pitcher_bb9,pitcher_kbb,pitcher_gbfb,pitcher_ip,pitcher_k_pct,is_home,year,date,opp_avg_runs_allowed,opp_avg_first5_allowed,predicted_f5,edge_vs_opp,is_lhp,game_key
1,Zach Davies,7.016,1.669,7.893,4.275,1.846,0.796,82.1,0.191,1,2023,2023-09-02,4.19,2.4,3.87,-1.47,0,2023-09-02|Arizona Diamondbacks|Baltimore Orioles
2,Cole Irvin,4.436,1.284,7.938,2.451,3.238,0.714,77.1,0.2024,0,2023,2023-09-02,4.5,2.53,2.47,0.06,1,2023-09-02|Arizona Diamondbacks|Baltimore Orioles
2,Michael Wacha,3.221,1.163,8.322,2.886,2.884,0.544,134.1,0.2242,1,2023,2023-09-02,4.29,2.43,1.77,0.66,0,2023-09-02|San Diego Padres|San Francisco Giants
5,Julio Urias,4.611,1.161,8.992,1.845,4.875,0.601,117.1,0.2427,1,2023,2023-09-02,4.34,2.43,2.54,-0.11,1,2023-09-02|Los Angeles Dodgers|Atlanta Braves
0,Max Fried,2.565,1.14,9.326,2.098,4.444,1.453,77.2,0.2572,0,2023,2023-09-02,4.29,2.5,1.43,1.07,1,2023-09-02|Los Angeles Dodgers|Atlanta Braves
4,David Peterson,5.027,1.568,10.378,4.054,2.56,1.232,111.0,0.2602,1,2023,2023-09-02,4.1,2.38,2.76,-0.38,1,2023-09-02|New York Mets|Seattle Mariners
3,Luis Castillo,3.335,1.096,10.005,2.558,3.911,0.652,197.0,0.2731,0,2023,2023-09-02,4.19,2.23,1.77,0.46,0,2023-09-02|New York Mets|Seattle Mariners
0,Blake Snell,2.25,1.189,11.7,4.95,2.364,0.776,180.0,0.3154,1,2023,2023-09-03,4.29,2.43,1.23,1.2,1,2023-09-03|San Diego Padres|San Francisco Giants
4,Jameson Taillon,4.848,1.278,8.177,2.395,3.415,0.623,154.1,0.2137,0,2023,2023-09-03,4.96,2.93,2.82,0.11,0,2023-09-03|Cincinnati Reds|Chicago Cubs
3,Josiah Gray,3.906,1.459,8.094,4.528,1.788,0.612,159.0,0.2049,1,2023,2023-09-03,4.43,2.37,2.13,0.24,0,2023-09-03|Washington Nationals|Miami Marlins
4,Sandy Alcantara,4.153,1.216,7.378,2.345,3.146,1.078,184.2,0.1982,0,2023,2023-09-03,4.99,2.85,2.41,0.44,0,2023-09-03|Washington Nationals|Miami Marlins
3,Tylor Megill,4.711,1.578,7.494,4.14,1.81,0.796,126.1,0.1852,1,2023,2023-09-03,4.1,2.38,2.58,-0.21,0,2023-09-03|New York Mets|Seattle Mariners
0,Chris Sale,4.315,1.135,11.008,2.554,4.31,0.623,102.2,0.2941,0,2023,2023-09-03,5.18,2.91,2.52,0.39,1,2023-09-03|Kansas City Royals|Boston Red Sox
3,Kyle Muller,7.597,1.961,6.545,4.558,1.436,0.768,77.0,0.1505,1,2023,2023-09-03,4.96,2.61,4.25,-1.64,1,2023-09-03|Oakland Athletics|Los Angeles Angels
0,Tyler Anderson,5.426,1.489,7.596,4.085,1.859,0.449,141.0,0.1892,0,2023,2023-09-03,5.84,3.35,3.27,0.08,1,2023-09-03|Oakland Athletics|Los Angeles Angels
0,Cristian Javier,4.556,1.265,8.833,3.444,2.565,0.354,162.0,0.2314,1,2023,2023-09-03,4.12,2.36,2.49,-0.13,0,2023-09-03|Houston Astros|New York Yankees
0,Justin Steele,3.068,1.173,9.151,1.872,4.889,1.012,173.1,0.2458,1,2023,2023-09-04,4.29,2.43,1.68,0.75,1,2023-09-04|Chicago Cubs|San Francisco Giants
1,Logan Webb,3.25,1.074,8.083,1.292,6.258,1.68,216.0,0.2282,0,2023,2023-09-04,4.49,2.61,1.84,0.77,0,2023-09-04|Chicago Cubs|San Francisco Giants
1,Aaron Civale,3.464,1.163,8.55,2.432,3.515,0.662,122.1,0.2302,1,2023,2023-09-04,4.6,2.57,1.95,0.62,0,2023-09-04|Tampa Bay Rays|Boston Red Sox
1,Merrill Kelly,3.301,1.196,9.498,3.505,2.71,0.841,177.2,0.259,1,2023,2023-09-04,5.77,3.44,2.12,1.32,0,2023-09-04|Arizona Diamondbacks|Colorado Rockies
9,Lucas Giolito,4.889,1.315,9.973,3.569,2.795,0.565,184.1,0.2569,1,2023,2023-09-04,3.92,2.2,2.63,-0.43,0,2023-09-04|Cleveland Guardians|Minnesota Twins
1,Pablo Lopez,3.665,1.155,10.856,2.227,4.875,0.828,194.0,0.2921,0,2023,2023-09-04,4.33,2.36,1.99,0.37,0,2023-09-04|Cleveland Guardians|Minnesota Twins
4,Corbin Burnes,3.401,1.071,9.317,3.075,3.03,0.789,193.2,0.2551,0,2023,2023-09-04,4.89,2.76,1.97,0.79,0,2023-09-04|Pittsburgh Pirates|Milwaukee Brewers
9,Rich Hill,5.421,1.526,7.947,3.573,2.224,0.64,146.1,0.1955,1,2023,2023-09-04,4.22,2.59,3.04,-0.45,1,2023-09-04|San Diego Padres|Philadelphia Phillies
3,Sonny Gray,2.788,1.147,8.951,2.69,3.327,0.925,184.0,0.2427,0,2023,2023-09-05,4.33,2.36,1.51,0.85,0,2023-09-05|Cleveland Guardians|Minnesota Twins
0,Brandon Woodruff,2.284,0.821,9.94,2.015,4.933,0.594,67.0,0.2925,0,2023,2023-09-05,4.89,2.76,1.35,1.41,0,2023-09-05|Pittsburgh Pirates|Milwaukee Brewers
2,Zach Eflin,3.505,1.027,9.447,1.219,7.75,1.016,177.2,0.2646,1,2023,2023-09-05,4.6,2.57,1.97,0.6,0,2023-09-05|Tampa Bay Rays|Boston Red Sox
2,Jesus Luzardo,3.586,1.218,10.505,2.778,3.782,0.698,178.2,0.2807,1,2023,2023-09-05,4.29,2.5,1.99,0.51,1,2023-09-05|Miami Marlins|Los Angeles Dodgers
3,Clayton Kershaw,2.47,1.067,9.398,2.744,3.425,0.916,131.2,0.262,0,2023,2023-09-05,4.43,2.37,1.33,1.04,1,2023-09-05|Miami Marlins|Los Angeles Dodgers
0,Gerrit Cole,2.627,0.981,9.56,2.067,4.625,0.676,209.0,0.2704,1,2023,2023-09-05,4.39,2.41,1.43,0.98,0,2023-09-05|New York Yankees|Detroit Tigers
9,Patrick Corbin,5.2,1.483,6.2,2.85,2.175,0.828,180.0,0.157,1,2023,2023-09-05,4.19,2.23,2.81,-0.58,1,2023-09-05|Washington Nationals|New York Mets
1,Miles Mikolas,4.789,1.318,6.131,1.745,3.513,0.64,201.1,0.1593,0,2023,2023-09-05,4.34,2.43,2.64,-0.21,0,2023-09-05|Atlanta Braves|St. Louis Cardinals
4,Dylan Cease,4.576,1.418,10.881,4.017,2.709,0.582,177.0,0.273,0,2023,2023-09-05,5.18,2.91,2.67,0.24,0,2023-09-05|Kansas City Royals|Chicago White Sox
9,Nathan Eovaldi,3.625,1.139,8.25,2.938,2.809,1.063,144.0,0.2288,1,2023,2023-09-06,4.18,2.41,1.99,0.42,0,2023-09-06|Texas Rangers|Houston Astros
1,Framber Valdez,3.455,1.126,9.091,2.591,3.509,1.231,198.0,0.2475,0,2023,2023-09-06,4.43,2.33,1.87,0.46,1,2023-09-06|Texas Rangers|Houston Astros
0,Dean Kremer,4.129,1.312,8.206,2.875,2.855,0.671,172.2,0.2136,0,2023,2023-09-06,4.96,2.61,2.33,0.28,0,2023-09-06|Los Angeles Angels|Baltimore Orioles
2,Kyle Freeland,5.045,1.476,5.451,2.436,2.238,0.693,155.2,0.1388,0,2023,2023-09-06,4.5,2.53,2.81,-0.28,1,2023-09-06|Arizona Diamondbacks|Colorado Rockies
0,Ken Waldichuk,5.362,1.56,8.426,4.532,1.859,0.697,141.0,0.2066,1,2023,2023-09-06,4.03,2.37,2.94,-0.57,1,2023-09-06|Oakland Athletics|Toronto Blue Jays
0,Chris Bassitt,3.6,1.175,8.37,2.655,3.153,0.751,200.0,0.2252,0,2023,2023-09-06,5.84,3.35,2.25,1.1,0,2023-09-06|Oakland Athletics|Toronto Blue Jays
2,Joe Ryan,4.522,1.172,10.999,1.898,5.794,0.495,161.2,0.2932,0,2023,2023-09-06,4.33,2.36,2.47,-0.11,0,2023-09-06|Cleveland Guardians|Minnesota Twins
9,Lance Lynn,5.748,1.397,9.383,3.291,2.851,0.57,183.2,0.2364,0,2023,2023-09-06,4.43,2.37,3.16,-0.79,0,2023-09-06|Miami Marlins|Los Angeles Dodgers
2,Logan Gilbert,3.738,1.078,8.943,1.703,5.25,0.729,190.2,0.2455,0,2023,2023-09-06,4.96,2.93,2.2,0.73,0,2023-09-06|Cincinnati Reds|Seattle Mariners
1,Clarke Schmidt,4.642,1.352,8.434,2.604,3.239,0.775,159.0,0.2147,1,2023,2023-09-06,4.39,2.41,2.55,-0.14,0,2023-09-06|New York Yankees|Detroit Tigers
6,Spencer Strider,3.867,1.096,13.582,2.803,4.845,0.537,186.2,0.3683,1,2023,2023-09-06,5.1,2.86,2.26,0.6,0,2023-09-06|Atlanta Braves|St. Louis Cardinals
1,Jordan Lyles,6.298,1.247,6.095,2.286,2.667,0.513,177.2,0.1604,1,2023,2023-09-06,5.11,2.84,3.6,-0.76,0,2023-09-06|Kansas City Royals|Chicago White Sox
8,Max Scherzer,3.784,1.124,10.289,2.661,3.867,0.508,152.2,0.2802,1,2023,2023-09-07,4.18,2.41,2.07,0.34,0,2023-09-07|Texas Rangers|Houston Astros
5,Patrick Sandoval,4.119,1.519,7.989,4.619,1.73,0.886,144.2,0.1963,1,2023,2023-09-07,4.19,2.4,2.26,0.14,1,2023-09-07|Los Angeles Angels|Baltimore Orioles
2,Kyle Gibson,4.734,1.318,7.359,2.578,2.855,0.99,192.0,0.1945,0,2023,2023-09-07,4.96,2.61,2.66,-0.05,0,2023-09-07|Los Angeles Angels|Baltimore Orioles
0,Luis Castillo,3.335,1.096,10.005,2.558,3.911,0.652,197.0,0.2731,0,2023,2023-09-07,4.03,2.34,1.81,0.53,0,2023-09-07|Tampa Bay Rays|Seattle Mariners
3,Eduardo Rodriguez,3.311,1.156,8.456,2.838,2.979,0.743,152.2,0.2303,0,2023,2023-09-07,4.12,2.36,1.8,0.56,1,2023-09-07|New York Yankees|Detroit Tigers
3,Max Fried,2.565,1.14,9.326,2.098,4.444,1.453,77.2,0.2572,1,2023,2023-09-07,5.1,2.86,1.53,1.33,1,2023-09-07|Atlanta Braves|St. Louis Cardinals
0,Cal Quantrill,5.262,1.472,5.262,3.175,1.657,0.678,99.2,0.1306,0,2023,2023-09-08,4.96,2.61,2.96,-0.35,0,2023-09-08|Los Angeles Angels|Cleveland Guardians
0,Jameson Taillon,4.848,1.278,8.177,2.395,3.415,0.623,154.1,0.2137,1,2023,2023-09-08,4.5,2.53,2.7,-0.17,0,2023-09-08|Chicago Cubs|Arizona Diamondbacks
0,Zac Gallen,3.471,1.119,9.429,2.014,4.681,0.734,210.0,0.26,0,2023,2023-09-08,4.49,2.61,1.96,0.65,0,2023-09-08|Chicago Cubs|Arizona Diamondbacks
0,Mike Clevinger,3.776,1.228,7.551,2.746,2.75,0.455,131.1,0.2004,0,2023,2023-09-08,4.39,2.41,2.07,0.34,0,2023-09-08|Detroit Tigers|Chicago White Sox
4,MacKenzie Gore,4.431,1.403,9.985,3.769,2.649,0.643,136.1,0.2595,1,2023,2023-09-08,4.29,2.5,2.46,0.04,1,2023-09-08|Washington Nationals|Los Angeles Dodgers
1,Tanner Houck,5.009,1.368,8.406,3.481,2.415,1.142,106.0,0.2138,1,2023,2023-09-08,4.19,2.4,2.75,-0.35,0,2023-09-08|Boston Red Sox|Baltimore Orioles
8,Mitch Keller,4.219,1.247,9.737,2.55,3.818,0.791,194.1,0.2545,0,2023,2023-09-08,4.34,2.43,2.32,0.11,0,2023-09-08|Atlanta Braves|Pittsburgh Pirates
3,Jordan Montgomery,3.204,1.196,7.938,2.295,3.458,0.78,188.2,0.2136,1,2023,2023-09-09,5.84,3.35,2.03,1.32,1,2023-09-09|Texas Rangers|Oakland Athletics
2,Kodai Senga,2.98,1.222,10.945,4.172,2.623,0.786,166.1,0.2911,0,2023,2023-09-09,3.92,2.2,1.57,0.63,0,2023-09-09|Minnesota Twins|New York Mets
1,Blake Snell,2.25,1.189,11.7,4.95,2.364,0.776,180.0,0.3154,0,2023,2023-09-09,4.18,2.41,1.22,1.19,1,2023-09-09|Houston Astros|San Diego Padres
1,Justin Steele,3.068,1.173,9.151,1.872,4.889,1.012,173.1,0.2458,1,2023,2023-09-09,4.5,2.53,1.71,0.82,1,2023-09-09|Chicago Cubs|Arizona Diamondbacks
1,Merrill Kelly,3.301,1.196,9.498,3.505,2.71,0.841,177.2,0.259,0,2023,2023-09-09,4.49,2.61,1.87,0.74,0,2023-09-09|Chicago Cubs|Arizona Diamondbacks
1,Kevin Gausman,3.162,1.178,11.53,2.676,4.309,0.752,185.0,0.3106,1,2023,2023-09-09,5.18,2.91,1.88,1.03,0,2023-09-09|Toronto Blue Jays|Kansas City Royals
4,Aaron Civale,3.464,1.163,8.55,2.432,3.515,0.662,122.1,0.2302,1,2023,2023-09-09,4.1,2.38,1.89,0.49,0,2023-09-09|Tampa Bay Rays|Seattle Mariners
7,Chris Sale,4.315,1.135,11.008,2.554,4.31,0.623,102.2,0.2941,1,2023,2023-09-09,4.19,2.4,2.37,0.03,1,2023-09-09|Boston Red Sox|Baltimore Orioles
6,Jack Flaherty,4.997,1.582,9.244,4.122,2.242,0.755,144.1,0.2277,0,2023,2023-09-09,4.6,2.57,2.8,-0.23,0,2023-09-09|Boston Red Sox|Baltimore Orioles
4,Aaron Nola,4.472,1.154,9.41,2.096,4.489,0.758,193.2,0.2547,1,2023,2023-09-09,4.43,2.37,2.45,-0.08,0,2023-09-09|Philadelphia Phillies|Miami Marlins
1,Jose Urena,6.516,1.629,5.905,4.48,1.318,0.936,44.2,0.1429,0,2023,2023-09-09,4.39,2.41,3.59,-1.18,0,2023-09-09|Detroit Tigers|Chicago White Sox
0,Logan Webb,3.25,1.074,8.083,1.292,6.258,1.68,216.0,0.2282,1,2023,2023-09-10,5.77,3.44,2.09,1.35,0,2023-09-10|San Francisco Giants|Colorado Rockies
2,Tyler Anderson,5.426,1.489,7.596,4.085,1.859,0.449,141.0,0.1892,1,2023,2023-09-10,4.33,2.36,2.97,-0.61,1,2023-09-10|Los Angeles Angels|Cleveland Guardians
4,Lucas Giolito,4.889,1.315,9.973,3.569,2.795,0.565,184.1,0.2569,0,2023,2023-09-10,4.96,2.61,2.75,-0.14,0,2023-09-10|Los Angeles Angels|Cleveland Guardians
3,Zach Eflin,3.505,1.027,9.447,1.219,7.75,1.016,177.2,0.2646,1,2023,2023-09-10,4.1,2.38,1.91,0.47,0,2023-09-10|Tampa Bay Rays|Seattle Mariners
0,Gerrit Cole,2.627,0.981,9.56,2.067,4.625,0.676,209.0,0.2704,1,2023,2023-09-10,3.89,2.21,1.37,0.84,0,2023-09-10|New York Yankees|Milwaukee Brewers
0,Corbin Burnes,3.401,1.071,9.317,3.075,3.03,0.789,193.2,0.2551,0,2023,2023-09-10,4.12,2.36,1.85,0.51,0,2023-09-10|New York Yankees|Milwaukee Brewers
1,Hunter Greene,4.821,1.42,12.214,3.857,3.167,0.559,112.0,0.3052,1,2023,2023-09-10,5.1,2.86,2.79,0.07,0,2023-09-10|Cincinnati Reds|St. Louis Cardinals
2,Miles Mikolas,4.789,1.318,6.131,1.745,3.513,0.64,201.1,0.1593,0,2023,2023-09-10,4.96,2.93,2.79,0.14,0,2023-09-10|Cincinnati Reds|St. Louis Cardinals
0,Pablo Lopez,3.665,1.155,10.856,2.227,4.875,0.828,194.0,0.2921,1,2023,2023-09-10,4.19,2.23,1.95,0.28,0,2023-09-10|Minnesota Twins|New York Mets
0,Tylor Megill,4.711,1.578,7.494,4.14,1.81,0.796,126.1,0.1852,0,2023,2023-09-10,3.92,2.2,2.53,-0.33,0,2023-09-10|Minnesota Twins|New York Mets
